onset	duration	TrialNum	BlockNum	Timescale	Predictiveness	Cue	Action	Outcome	RT	CueFile	OutcomeFile
6	2.3730577	1	1	NoDelay	NonPred	7	2	14	0.3730577	stim_11_B.png	stim_3_B.png
10.5	2.5990812	2	1	NoDelay	NonPred	7	1	13	0.5990812	stim_11_B.png	stim_10_B.png
15	2.2758544	3	1	NoDelay	NonPred	8	2	15	0.2758544	stim_7_B.png	stim_4_B.png
19.5	2.000279043	4	1	NoDelay	NonPred	7	1	13	0.000279043	stim_11_B.png	stim_10_B.png
24	2.3080255	5	1	NoDelay	NonPred	8	2	16	0.3080255	stim_7_B.png	stim_8_B.png
46.5	2.4496794	6	2	NoDelay	Pred	5	2	10	0.4496794	stim_2_B.png	stim_1_B.png
51	2.6135784	7	2	NoDelay	Pred	6	1	12	0.6135784	stim_12_B.png	stim_5_B.png
55.5	2.488359	8	2	NoDelay	Pred	6	1	11	0.488359	stim_12_B.png	stim_9_B.png
60	2.00024889	9	2	NoDelay	Pred	6	2	12	0.00024889	stim_12_B.png	stim_5_B.png
64.5	2.000273387	10	2	NoDelay	Pred	6	1	11	0.000273387	stim_12_B.png	stim_9_B.png
87	2.5727232	11	3	NoDelay	NonPred	8	2	16	0.5727232	stim_7_B.png	stim_8_B.png
91.5	2.4975311	12	3	NoDelay	NonPred	8	2	16	0.4975311	stim_7_B.png	stim_8_B.png
96	2.3978497	13	3	NoDelay	NonPred	8	1	15	0.3978497	stim_7_B.png	stim_4_B.png
100.5	2.2726696	14	3	NoDelay	NonPred	8	1	15	0.2726696	stim_7_B.png	stim_4_B.png
105	2.3976278	15	3	NoDelay	NonPred	7	2	13	0.3976278	stim_11_B.png	stim_10_B.png
127.5	2.5932963	16	4	NoDelay	Pred	6	2	12	0.5932963	stim_12_B.png	stim_5_B.png
132	2.3903292	17	4	NoDelay	Pred	5	1	9	0.3903292	stim_2_B.png	stim_6_B.png
136.5	2.3295851	18	4	NoDelay	Pred	5	2	10	0.3295851	stim_2_B.png	stim_1_B.png
141	2.6936699	19	4	NoDelay	Pred	6	1	11	0.6936699	stim_12_B.png	stim_9_B.png
145.5	2.2903568	20	4	NoDelay	Pred	5	2	10	0.2903568	stim_2_B.png	stim_1_B.png
168	2.3409708	21	5	NoDelay	NonPred	7	1	13	0.3409708	stim_11_B.png	stim_10_B.png
172.5	2.000281205	22	5	NoDelay	NonPred	8	2	15	0.000281205	stim_7_B.png	stim_4_B.png
177	2.3265445	23	5	NoDelay	NonPred	7	1	14	0.3265445	stim_11_B.png	stim_3_B.png
181.5	2.000297145	24	5	NoDelay	NonPred	7	2	13	0.000297145	stim_11_B.png	stim_10_B.png
186	2.5666539	25	5	NoDelay	NonPred	8	1	16	0.5666539	stim_7_B.png	stim_8_B.png
208.5	2.3543407	26	6	NoDelay	Pred	5	2	10	0.3543407	stim_2_B.png	stim_1_B.png
213	2.3519687	27	6	NoDelay	Pred	6	1	11	0.3519687	stim_12_B.png	stim_9_B.png
217.5	2.2918426	28	6	NoDelay	Pred	6	2	12	0.2918426	stim_12_B.png	stim_5_B.png
222	2.3183394	29	6	NoDelay	Pred	5	1	9	0.3183394	stim_2_B.png	stim_6_B.png
226.5	2.1462823	30	6	NoDelay	Pred	6	2	12	0.1462823	stim_12_B.png	stim_5_B.png
249	2.3111033	31	7	NoDelay	NonPred	7	2	14	0.3111033	stim_11_B.png	stim_3_B.png
253.5	2.08380663	32	7	NoDelay	NonPred	7	1	14	0.08380663	stim_11_B.png	stim_3_B.png
258	2.1358532	33	7	NoDelay	NonPred	7	2	13	0.1358532	stim_11_B.png	stim_10_B.png
262.5	2.3075146	34	7	NoDelay	NonPred	8	1	15	0.3075146	stim_7_B.png	stim_4_B.png
267	2.3756817	35	7	NoDelay	NonPred	8	2	16	0.3756817	stim_7_B.png	stim_8_B.png
289.5	2.4847514	36	8	NoDelay	Pred	5	1	9	0.4847514	stim_2_B.png	stim_6_B.png
294	2.1755991	37	8	NoDelay	Pred	5	2	10	0.1755991	stim_2_B.png	stim_1_B.png
298.5	2.2435184	38	8	NoDelay	Pred	6	2	12	0.2435184	stim_12_B.png	stim_5_B.png
303	2.3917641	39	8	NoDelay	Pred	5	1	9	0.3917641	stim_2_B.png	stim_6_B.png
307.5	3.068455	40	8	NoDelay	Pred	5	2	10	1.068455	stim_2_B.png	stim_1_B.png
